"proyecto_id","proyecto","capacidad","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano","tipo_proyecto","municipio","codigo_municipio","departamento","codigo_departamento"
37,GRANJA SOLAR BELMONTE,5.059999942779541,2021-04-30,24288.0,4212,21758000000,35,7092.0,Solar,Pereira,66001,Risaralda,66
38,"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS - SEDE INDUSTRIA HUILA",0.05999999865889549,2021-07-15,288.0,50,258000000,0,84.0,Solar,Neiva,41001,Huila,41
39,CENTRO DE GESTIÓN Y DESARROLLO AGROINDUSTRIAL DE ARAUCA,0.15000000596046448,2021-07-15,720.0,125,645000000,1,210.0,Solar,Arauca,81001,Arauca,81
40,AFINIA GD Y AG (167 Proyectos),9.829999923706055,2022-05-31,47184.0,8182,42269000000,68,13778.0,Solar,Montería,23001,Córdoba,23
41,EBSA GD Y AG (53 Proyectos),1.3200000524520874,2022-05-31,6336.0,1099,5676000000,9,1850.0,Solar,Tunja,15001,Boyacá,15
42,EPM GD Y AG (1469 Proyectos),23.920000076293945,2022-05-31,114816.0,19910,102856000000,166,33526.0,Solar,Medellín,5001,Antioquia,5
43,CELSIA GD Y AG (286 Proyectos),8.380000114440918,2022-05-31,40224.0,6975,36034000000,58,11745.0,Solar,Cali,76001,Valle Del Cauca,76
44,ENEL GD Y AG (331 PROYECTOS),10.279999732971191,2021-07-22,49344.0,8557,44204000000,72,14408.0,Solar,Bogotá D.C.,11001,Bogotá D.C.,11
45,CENS GD Y AG (165 Proyectos),2.390000104904175,2022-05-31,11472.0,1989,10277000000,17,3350.0,Solar,San José De Cúcuta,54001,Norte De Santander,54
46,ENERCA GD Y AG,1.2599999904632568,2021-07-22,6048.0,1049,5418000000,9,1766.0,Solar,Yopal,85001,Casanare,85
47,AIRE GD Y AG,12.100000381469727,2021-07-22,58080.0,10072,52030000000,84,16959.0,Solar,Barranquilla,8001,Atlántico,8
48,LA PAILA,9.899999618530273,2021-08-07,47520.0,8240,42570000000,69,13876.0,Solar,Zarzal,76895,Valle Del Cauca,76
49,LA SIERPE SOLAR,19.899999618530273,2021-08-31,95520.0,16564,85570000000,139,27892.0,Solar,San Benito Abad,70678,Sucre,70
50,SAN FERNANDO,61.0,2021-10-22,292800.0,50775,262300000000,425,85498.0,Solar,Castilla La Nueva,50150,Meta,50
51,COMPLEJO SOLAR RELIANZ CAT,1.850000023841858,2021-11-25,8880.0,1540,7955000000,13,2593.0,Solar,Galapa,8296,Atlántico,8
